product_name,product_rating,product_current_price,product_url
Spirit Of The Island: Paradise Edition Nintendo Switch Game,,£12.99,https://www.argos.co.uk/product/3364839
Train Valley Collection Deluxe Edition Nintendo Switch Game,,£47.99,https://www.argos.co.uk/product/3280449
Battle Of Rebels PS4 Game Pre-Order,,£23.99,https://www.argos.co.uk/product/3156748
"Good Pizza, Great Pizza Nintendo Switch Game",,£9.99,https://www.argos.co.uk/product/3111886
Monopoly Nintendo Switch Game Pre-Order,,£24.99,https://www.argos.co.uk/product/3031344
TRANSFORMERS: Galactic Trials Nintendo Switch Game Pre-Order,,£34.99,https://www.argos.co.uk/product/3031179
Farmagia Nintendo Switch Game Pre-Order,,£44.99,https://www.argos.co.uk/product/3030895
Pepper Grinder Nintendo Switch Game Pre-Order,,£25.99,https://www.argos.co.uk/product/2999944
Nick Jr. Party Adventure Nintendo Switch Game Pre-Order,,£30.99,https://www.argos.co.uk/product/2659624
Potionomics: Masterwork Edn Nintendo Switch Game Pre-Order,,£34.99,https://www.argos.co.uk/product/2655264
Just Dance 2025 Edition Nintendo Switch Game Pre-Order,,£38.99,https://www.argos.co.uk/product/2655075
Fantasy Friends: Dream Worlds Nintendo Switch Game Pre-Order,,£32.99,https://www.argos.co.uk/product/2655044
Matchbox Driving Adventures Nintendo Switch Game Pre-Order,,£31.99,https://www.argos.co.uk/product/2654801
Conscript Nintendo Switch Game Pre-Order,,£29.99,https://www.argos.co.uk/product/2654708
Ravenswatch Nintendo Switch Game Pre-Order,,£31.99,https://www.argos.co.uk/product/2079376
The Karate Kid Street Rumble Nintendo Switch Game Pre-Order,,£32.99,https://www.argos.co.uk/product/2079345
The Legend Of Zelda: Tears Of The Kingdom Switch Game,"Rating 4.900411 out of 5
(411)",£44.99,https://www.argos.co.uk/product/5642975
The Legend of Zelda: Echoes of Wisdom Switch Game Pre-Order,,£46.99,https://www.argos.co.uk/product/2654980
DRAGON BALL: THE BREAKERS Special Edition Switch Game,"Rating 4.000001 out of 5
(1)",£11.99,https://www.argos.co.uk/product/7047963
SpongeBob SquarePants Battle For Bikini Bottom Switch Game,"Rating 4.700042 out of 5
(42)",£15.99,https://www.argos.co.uk/product/5028939
GTA: The Trilogy - The Definitive Edition Switch Game,"Rating 4.800031 out of 5
(31)",£37.99,https://www.argos.co.uk/product/6792611
Plants vs Zombies: Battle For Neighborville CE Switch Game,"Rating 4.700032 out of 5
(32)",£20.99,https://www.argos.co.uk/product/5820498
Pokémon Violet + Hidden Treasure Of Area Zero Switch Game,"Rating 4.600007 out of 5
(7)",£53.99,https://www.argos.co.uk/product/7080731
Naruto Shippuden: Ultimate Ninja Storm 3 Switch Game,,£11.99,https://www.argos.co.uk/product/4079824
SPONGEBOB SQUAREPANTS The Patrick Star Game Switch Pre-Order,,£30.99,https://www.argos.co.uk/product/3031131
